"TOA5","Th-Bowdoin-1","CR1000","3712","CR1000.Std.08","CPU:BOWD-1_THERM-2014.CR1","55207","Therm"
"TIMESTAMP","RECORD","PTemp","Resist(1)","Resist(2)","Resist(3)","Resist(4)","Resist(5)","Resist(6)","Resist(7)","Resist(8)","Resist(9)","Resist(10)","Resist(11)","Resist(12)","Resist(13)","Resist(14)","Resist(15)","Resist(16)","Voltage(1)","Voltage(2)","Voltage(3)","Voltage(4)","Voltage(5)","Voltage(6)","Voltage(7)","Voltage(8)","Voltage(9)","Voltage(10)","Voltage(11)","Voltage(12)","Voltage(13)","Voltage(14)","Voltage(15)","Voltage(16)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2014-07-22 23:30:00",5,5.7,27.23196,27.08606,27.18081,27.43749,27.11518,27.29053,27.28321,27.36392,27.13704,26.93366,"NAN",27.27589,20.02687,22.1776,24.17204,27.01338,-24.18259,-25.52235,-24.65151,-22.30693,-25.2544,-23.64669,-23.71368,-22.97681,-25.05343,-26.92909,"NAN",-23.78067,-99.67783,-74.95934,-53.79119,-26.19223
"2014-07-22 23:40:00",6,5.7,27.23938,27.14444,27.24669,27.49658,27.20283,27.34198,27.36402,27.41549,27.17361,26.94825,27.04254,27.28331,26.68157,26.82541,20.12797,21.34046,-24.11469,-24.9855,-24.0477,-21.77021,-24.44962,-23.1769,-22.97594,-22.50704,-24.71756,-26.7941,-25.92329,-23.71278,-29.27255,-27.93285,-98.46832,-84.33443
"2014-07-22 23:50:00",7,5.765,27.23214,27.20289,27.26873,27.5188,27.27605,27.36408,27.38613,27.41556,27.17369,26.97005,27.05715,27.29803,26.69601,26.83991,20.81639,21.00157,-24.18103,-24.44896,-23.84611,-21.56867,-23.77913,-22.97533,-22.77438,-22.50644,-24.7169,-26.59243,-25.78863,-23.57818,-29.13781,-27.79814,-90.36069,-88.21722
"2014-07-23 00:00:00",8,5.874,27.23224,27.23956,27.29081,27.54105,27.33481,27.39358,27.38623,27.42302,27.18839,26.97742,27.05726,27.3128,26.70331,26.84725,20.22971,18.48431,-24.18006,-24.11308,-23.64421,-21.36687,-23.24233,-22.70648,-22.77346,-22.43856,-24.58195,-26.52439,-25.7876,-23.44327,-29.06966,-27.73004,-97.25609,-118.7569
"2014-07-23 00:10:00",9,6.068,27.23225,27.28349,27.30548,27.56325,27.35685,27.40831,27.38624,27.43776,27.20301,26.98468,27.07181,27.32014,26.72486,26.85447,19.90513,20.46745,-24.17998,-23.71112,-23.51018,-21.16586,-23.04131,-22.57245,-22.77339,-22.30453,-24.4479,-26.45732,-25.65355,-23.37621,-28.86862,-27.66297,-101.1406,-94.44258
"2014-07-23 00:20:00",10,6.134,27.23225,27.31281,27.32748,27.57805,27.3936,27.43039,27.40831,27.44512,27.21763,26.99918,27.07909,27.32748,26.73205,26.85447,20.38796,21.75628,-24.17998,-23.44319,-23.30923,-21.03189,-22.7064,-22.3715,-22.57244,-22.23754,-24.31394,-26.32335,-25.58657,-23.30923,-28.80163,-27.66296,-95.38029,-79.63986
"2014-07-23 00:30:00",11,6.091,27.23225,27.32748,27.34216,27.59286,27.41567,27.44512,27.41567,27.45249,27.23956,26.99918,27.09364,27.33482,26.74642,26.86169,21.76225,23.3785,-24.17998,-23.30923,-23.17527,-20.89793,-22.50546,-22.23754,-22.50546,-22.17056,-24.113,-26.32335,-25.45261,-23.24225,-28.66767,-27.59598,-79.57288,-62.02398
"2014-07-23 00:40:00",12,5.874,27.23956,27.34216,27.3495,27.60027,27.43776,27.45987,27.43776,27.46723,27.23956,27.00644,27.09364,27.33482,26.75361,26.86891,22.02077,23.77586,-24.113,-23.17527,-23.10829,-20.83095,-22.30452,-22.10358,-22.30452,-22.0366,-24.113,-26.25637,-25.45261,-23.24225,-28.60069,-27.529,-76.69272,-57.87119
