Date,Wind_speed_1[m/s],Wind_direction_1[deg],Temperature_1[degC],Relative_humidity_1[%],SW_downward[W/m**2],SW_upward[W/m**2],LW_downward[W/m**2],LW_upward[W/m**2],NIR_downward[W/m**2],NIR_upward[W/m**2],Snow_depth[cm],Surface_pressure[hPa],Snow_temperature_1[degC],Snow_temperature_2[degC],Snow_temperature_3[degC],CNR4_body_temp[degC],Tilt_X[deg],Tilt_Y[deg],Wind_speed_2[m/s],Wind_direction_2[deg],Temperature_2[degC],Relative_humidity_2[%]
01.01.2013 01:00,4.30 ,57.00 ,-35.20 ,70.00 ,-0.80 ,0.71 ,174.25 ,174.25 ,-0.66 ,0.00 ,59.00 ,830.00 ,-18.40 ,-18.70 ,-19.80 ,-37.70 ,1.00 ,-3.00 ,6.80 ,49.00 ,-29.20 ,71.00 
01.01.2013 02:00,4.50 ,56.00 ,-35.50 ,69.00 ,-0.80 ,0.71 ,174.84 ,174.84 ,-0.66 ,0.00 ,60.00 ,829.90 ,-18.40 ,-18.70 ,-19.80 ,-37.50 ,1.00 ,-3.00 ,7.00 ,50.00 ,-30.50 ,70.00 
01.01.2013 03:00,4.60 ,57.00 ,-35.30 ,70.00 ,0.00 ,0.71 ,175.74 ,175.74 ,0.00 ,0.00 ,60.00 ,829.70 ,-18.50 ,-18.70 ,-19.80 ,-37.20 ,1.00 ,-3.00 ,7.10 ,53.00 ,-31.50 ,70.00 
01.01.2013 04:00,4.60 ,57.00 ,-35.40 ,69.00 ,-0.80 ,0.00 ,176.33 ,176.33 ,-0.66 ,0.00 ,60.00 ,829.20 ,-18.50 ,-18.80 ,-19.80 ,-37.00 ,1.00 ,-3.00 ,7.00 ,55.00 ,-32.80 ,69.00 
01.01.2013 05:00,5.30 ,49.00 ,-34.60 ,70.00 ,0.00 ,1.41 ,178.74 ,178.74 ,0.00 ,0.00 ,60.00 ,829.00 ,-18.50 ,-18.80 ,-19.80 ,-36.20 ,0.00 ,-3.00 ,7.60 ,48.00 ,-32.80 ,69.00 
01.01.2013 06:00,5.40 ,46.00 ,-34.60 ,70.00 ,-0.80 ,0.00 ,180.55 ,180.55 ,-0.66 ,0.00 ,61.00 ,828.60 ,-18.50 ,-18.80 ,-19.80 ,-35.60 ,1.00 ,-3.00 ,7.70 ,45.00 ,-33.10 ,69.00 
01.01.2013 07:00,5.50 ,46.00 ,-34.60 ,70.00 ,-0.80 ,0.71 ,180.25 ,180.25 ,-0.66 ,0.00 ,61.00 ,828.30 ,-18.50 ,-18.80 ,-19.80 ,-35.70 ,0.00 ,-3.00 ,7.80 ,45.00 ,-33.20 ,69.00 
01.01.2013 08:00,5.70 ,46.00 ,-34.40 ,70.00 ,-0.80 ,0.71 ,181.16 ,181.16 ,-0.66 ,0.00 ,61.00 ,828.00 ,-18.50 ,-18.80 ,-19.80 ,-35.40 ,1.00 ,-3.00 ,7.90 ,46.00 ,-33.00 ,69.00 
01.01.2013 09:00,5.40 ,44.00 ,-34.40 ,70.00 ,-0.80 ,0.00 ,181.16 ,181.16 ,-0.66 ,0.00 ,60.00 ,827.60 ,-18.50 ,-18.80 ,-19.80 ,-35.40 ,1.00 ,-3.00 ,7.60 ,43.00 ,-33.00 ,69.00 
01.01.2013 10:00,5.10 ,42.00 ,-35.40 ,69.00 ,-0.80 ,0.00 ,178.43 ,178.43 ,-0.66 ,0.00 ,60.00 ,827.00 ,-18.50 ,-18.80 ,-19.80 ,-36.30 ,0.00 ,-4.00 ,7.30 ,42.00 ,-34.00 ,68.00 
01.01.2013 11:00,5.10 ,42.00 ,-35.70 ,69.00 ,-0.80 ,0.00 ,177.53 ,177.53 ,-0.66 ,0.00 ,60.00 ,826.50 ,-18.50 ,-18.80 ,-19.90 ,-36.60 ,1.00 ,-2.00 ,7.30 ,41.00 ,-34.30 ,69.00 
01.01.2013 12:00,4.80 ,41.00 ,-36.70 ,69.00 ,-0.80 ,0.00 ,174.55 ,174.55 ,-0.66 ,0.00 ,60.00 ,825.70 ,-18.50 ,-18.80 ,-19.90 ,-37.60 ,0.00 ,-3.00 ,7.00 ,39.00 ,-34.90 ,69.00 
01.01.2013 13:00,5.50 ,42.00 ,-36.70 ,69.00 ,-0.80 ,0.71 ,173.96 ,173.96 ,-0.66 ,0.00 ,61.00 ,824.90 ,-18.50 ,-18.80 ,-19.90 ,-37.80 ,1.00 ,-4.00 ,7.70 ,41.00 ,-35.20 ,70.00 
01.01.2013 14:00,5.50 ,39.00 ,-37.20 ,68.00 ,-0.80 ,0.00 ,173.66 ,173.66 ,-0.66 ,0.00 ,60.00 ,824.00 ,-18.50 ,-18.90 ,-19.90 ,-37.90 ,1.00 ,-3.00 ,7.40 ,40.00 ,-35.90 ,70.00 
01.01.2013 15:00,4.80 ,54.00 ,-37.80 ,68.00 ,-0.80 ,0.00 ,171.90 ,171.90 ,-0.66 ,0.00 ,60.00 ,823.40 ,-18.50 ,-18.90 ,-19.90 ,-38.50 ,1.00 ,-3.00 ,6.40 ,53.00 ,-36.50 ,69.00 
01.01.2013 16:00,4.20 ,50.00 ,-38.00 ,68.00 ,-0.80 ,0.00 ,170.14 ,170.14 ,-0.66 ,0.00 ,60.00 ,822.50 ,-18.50 ,-18.90 ,-19.90 ,-39.10 ,1.00 ,-3.00 ,5.60 ,50.00 ,-36.30 ,69.00 
01.01.2013 17:00,3.90 ,55.00 ,-39.20 ,67.00 ,-1.60 ,0.00 ,166.40 ,166.40 ,-0.66 ,0.00 ,60.00 ,821.60 ,-18.50 ,-18.90 ,-19.90 ,-40.40 ,1.00 ,-3.00 ,5.30 ,53.00 ,-35.80 ,69.00 
01.01.2013 18:00,3.30 ,56.00 ,-39.50 ,67.00 ,-1.60 ,0.00 ,164.40 ,164.40 ,-0.66 ,0.00 ,59.00 ,820.80 ,-18.50 ,-18.90 ,-19.90 ,-41.10 ,1.00 ,-3.00 ,4.80 ,56.00 ,-35.90 ,68.00 
01.01.2013 19:00,4.00 ,81.00 ,-39.10 ,67.00 ,0.00 ,1.41 ,162.99 ,162.99 ,-0.66 ,0.00 ,60.00 ,819.90 ,-18.60 ,-18.90 ,-19.90 ,-41.60 ,0.00 ,-3.00 ,6.40 ,83.00 ,-35.60 ,66.00 
01.01.2013 20:00,5.70 ,90.00 ,-37.70 ,68.00 ,0.00 ,1.41 ,170.14 ,170.14 ,0.00 ,0.00 ,60.00 ,819.00 ,-18.60 ,-18.90 ,-19.90 ,-39.10 ,2.00 ,-3.00 ,8.10 ,89.00 ,-36.40 ,65.00 
01.01.2013 21:00,6.40 ,97.00 ,-37.50 ,68.00 ,0.00 ,0.71 ,172.48 ,172.48 ,0.00 ,0.00 ,60.00 ,818.30 ,-18.60 ,-18.90 ,-19.90 ,-38.30 ,2.00 ,-3.00 ,8.70 ,96.00 ,-36.60 ,64.00 
01.01.2013 22:00,7.20 ,94.00 ,-36.80 ,68.00 ,0.00 ,0.71 ,174.84 ,174.84 ,0.00 ,0.00 ,59.00 ,817.60 ,-18.60 ,-18.90 ,-19.90 ,-37.50 ,1.00 ,-3.00 ,9.60 ,93.00 ,-35.90 ,65.00 
01.01.2013 23:00,7.10 ,105.00 ,-36.60 ,69.00 ,-0.80 ,0.00 ,175.74 ,175.74 ,-0.66 ,0.00 ,59.00 ,816.80 ,-18.60 ,-18.90 ,-20.00 ,-37.20 ,2.00 ,-4.00 ,9.40 ,104.00 ,-35.70 ,65.00 
02.01.2013 00:00,6.30 ,113.00 ,-37.10 ,68.00 ,-0.80 ,0.00 ,174.25 ,174.25 ,-0.66 ,0.00 ,58.00 ,816.30 ,-18.60 ,-18.90 ,-20.00 ,-37.70 ,2.00 ,-3.00 ,8.30 ,111.00 ,-36.10 ,67.00 
02.01.2013 01:00,6.50 ,110.00 ,-37.70 ,68.00 ,-0.80 ,-0.71 ,173.07 ,173.07 ,-0.66 ,0.00 ,59.00 ,815.60 ,-18.60 ,-18.90 ,-20.00 ,-38.10 ,0.00 ,-3.00 ,8.60 ,109.00 ,-37.10 ,67.00 
02.01.2013 02:00,6.90 ,105.00 ,-38.10 ,68.00 ,-0.80 ,0.71 ,171.31 ,171.31 ,0.00 ,0.00 ,59.00 ,815.20 ,-18.60 ,-18.90 ,-20.00 ,-38.70 ,2.00 ,-3.00 ,9.10 ,104.00 ,-37.30 ,67.00 
02.01.2013 03:00,7.90 ,103.00 ,-38.30 ,67.00 ,-0.80 ,0.00 ,171.31 ,171.31 ,0.00 ,0.00 ,60.00 ,814.70 ,-18.60 ,-18.90 ,-20.00 ,-38.70 ,2.00 ,-3.00 ,10.10 ,101.00 ,-37.80 ,66.00 
02.01.2013 04:00,8.10 ,106.00 ,-38.70 ,67.00 ,-0.80 ,0.00 ,170.73 ,170.73 ,0.00 ,0.00 ,59.00 ,814.20 ,-18.60 ,-18.90 ,-20.00 ,-38.90 ,1.00 ,-3.00 ,10.30 ,105.00 ,-38.20 ,66.00 
02.01.2013 05:00,8.30 ,107.00 ,-38.90 ,67.00 ,0.00 ,0.00 ,169.85 ,169.85 ,0.00 ,0.00 ,59.00 ,814.30 ,-18.60 ,-18.90 ,-20.00 ,-39.20 ,2.00 ,-3.00 ,10.60 ,105.00 ,-38.40 ,66.00 
02.01.2013 06:00,8.70 ,112.00 ,-38.90 ,67.00 ,-0.80 ,0.00 ,169.85 ,169.85 ,0.00 ,0.00 ,59.00 ,814.40 ,-18.70 ,-18.90 ,-20.00 ,-39.20 ,2.00 ,-3.00 ,11.10 ,110.00 ,-38.50 ,66.00 
02.01.2013 07:00,8.70 ,113.00 ,-39.20 ,67.00 ,-0.80 ,0.00 ,168.98 ,168.98 ,0.00 ,0.00 ,59.00 ,814.60 ,-18.70 ,-19.00 ,-20.10 ,-39.50 ,3.00 ,-3.00 ,11.00 ,112.00 ,-38.80 ,66.00 
02.01.2013 08:00,8.40 ,113.00 ,-39.40 ,67.00 ,-0.80 ,0.00 ,168.70 ,168.70 ,0.00 ,0.00 ,60.00 ,814.80 ,-18.70 ,-19.00 ,-20.10 ,-39.60 ,1.00 ,-3.00 ,10.80 ,112.00 ,-39.00 ,66.00 
02.01.2013 09:00,8.80 ,115.00 ,-39.40 ,67.00 ,-0.80 ,0.00 ,168.41 ,168.41 ,0.00 ,0.00 ,59.00 ,814.90 ,-18.70 ,-19.00 ,-20.10 ,-39.70 ,1.00 ,-3.00 ,11.10 ,113.00 ,-39.00 ,66.00 
02.01.2013 10:00,8.50 ,120.00 ,-39.90 ,66.00 ,-0.80 ,0.00 ,167.26 ,167.26 ,-0.66 ,0.00 ,59.00 ,815.40 ,-18.70 ,-19.00 ,-20.10 ,-40.10 ,2.00 ,-4.00 ,10.80 ,118.00 ,-39.50 ,66.00 
02.01.2013 11:00,7.70 ,122.00 ,-40.20 ,66.00 ,-0.80 ,0.00 ,166.40 ,166.40 ,-0.66 ,0.00 ,59.00 ,815.60 ,-18.70 ,-19.00 ,-20.10 ,-40.40 ,2.00 ,-3.00 ,9.90 ,120.00 ,-39.60 ,66.00 
02.01.2013 12:00,7.00 ,121.00 ,-40.90 ,66.00 ,-0.80 ,0.00 ,164.40 ,164.40 ,-0.66 ,0.00 ,59.00 ,816.10 ,-18.70 ,-19.00 ,-20.10 ,-41.10 ,2.00 ,-2.00 ,9.10 ,118.00 ,-40.20 ,65.00 
02.01.2013 13:00,6.90 ,122.00 ,-40.70 ,66.00 ,-0.80 ,0.71 ,164.40 ,164.40 ,-0.66 ,0.00 ,59.00 ,816.30 ,-18.70 ,-19.00 ,-20.10 ,-41.10 ,2.00 ,-2.00 ,9.00 ,119.00 ,-40.00 ,66.00 
02.01.2013 14:00,7.10 ,130.00 ,-40.40 ,66.00 ,0.00 ,0.00 ,164.97 ,164.97 ,-0.66 ,0.00 ,58.00 ,816.30 ,-18.70 ,-19.00 ,-20.10 ,-40.90 ,1.00 ,-3.00 ,9.20 ,127.00 ,-39.70 ,66.00 
02.01.2013 15:00,7.10 ,132.00 ,-40.40 ,66.00 ,-0.80 ,0.00 ,165.25 ,165.25 ,-0.66 ,0.00 ,58.00 ,816.30 ,-18.70 ,-19.00 ,-20.10 ,-40.80 ,3.00 ,-3.00 ,9.20 ,129.00 ,-39.60 ,66.00 
02.01.2013 16:00,6.90 ,124.00 ,-40.80 ,66.00 ,-0.80 ,0.00 ,164.40 ,164.40 ,-0.66 ,0.00 ,59.00 ,816.50 ,-18.70 ,-19.00 ,-20.10 ,-41.10 ,2.00 ,-2.00 ,8.90 ,121.00 ,-40.20 ,65.00 
02.01.2013 17:00,5.60 ,122.00 ,-41.60 ,11.00 ,-0.80 ,0.00 ,162.43 ,162.43 ,-0.66 ,0.00 ,59.00 ,816.90 ,-18.80 ,-19.10 ,-20.10 ,-41.80 ,2.00 ,-3.00 ,7.50 ,120.00 ,-40.90 ,65.00 
02.01.2013 18:00,5.80 ,121.00 ,-42.00 ,127.00 ,-0.80 ,0.00 ,160.47 ,160.47 ,-0.66 ,0.00 ,59.00 ,817.10 ,-18.80 ,-19.10 ,-20.10 ,-42.50 ,1.00 ,-3.00 ,7.80 ,119.00 ,-41.10 ,65.00 
02.01.2013 19:00,5.90 ,118.00 ,-42.10 ,127.00 ,-0.80 ,0.00 ,160.19 ,160.19 ,-0.66 ,0.00 ,59.00 ,817.30 ,-18.80 ,-19.10 ,-20.10 ,-42.60 ,2.00 ,-3.00 ,7.80 ,116.00 ,-41.20 ,65.00 
02.01.2013 20:00,5.90 ,118.00 ,-42.10 ,127.00 ,0.00 ,0.71 ,159.92 ,159.92 ,-0.66 ,0.00 ,59.00 ,817.70 ,-18.80 ,-19.10 ,-20.20 ,-42.70 ,2.00 ,-2.00 ,7.80 ,117.00 ,-41.10 ,65.00 
02.01.2013 21:00,7.20 ,125.00 ,-41.30 ,127.00 ,0.00 ,0.71 ,162.43 ,162.43 ,-0.66 ,0.00 ,58.00 ,818.00 ,-18.80 ,-19.10 ,-20.20 ,-41.80 ,1.00 ,-4.00 ,9.30 ,123.00 ,-40.50 ,65.00 
02.01.2013 22:00,6.80 ,121.00 ,-41.20 ,127.00 ,-0.80 ,0.00 ,163.27 ,163.27 ,-0.66 ,0.00 ,59.00 ,818.40 ,-18.80 ,-19.10 ,-20.20 ,-41.50 ,1.00 ,-4.00 ,8.80 ,119.00 ,-40.60 ,65.00 
02.01.2013 23:00,6.00 ,121.00 ,-41.30 ,126.00 ,-0.80 ,0.00 ,162.71 ,162.71 ,-0.66 ,0.00 ,59.00 ,818.90 ,-18.80 ,-19.10 ,-20.20 ,-41.70 ,1.00 ,-2.00 ,7.90 ,119.00 ,-40.60 ,65.00 
03.01.2013 00:00,6.00 ,120.00 ,-41.40 ,127.00 ,-0.80 ,0.00 ,162.43 ,162.43 ,-0.66 ,0.00 ,59.00 ,819.10 ,-18.80 ,-19.10 ,-20.20 ,-41.80 ,2.00 ,-3.00 ,7.90 ,117.00 ,-40.60 ,65.00 
03.01.2013 01:00,6.10 ,118.00 ,-41.20 ,127.00 ,-0.80 ,0.00 ,162.71 ,162.71 ,-0.66 ,0.00 ,59.00 ,819.40 ,-18.80 ,-19.10 ,-20.20 ,-41.70 ,2.00 ,-3.00 ,8.10 ,115.00 ,-40.40 ,65.00 
03.01.2013 02:00,5.70 ,113.00 ,-41.40 ,127.00 ,-0.80 ,0.00 ,162.15 ,162.15 ,0.00 ,0.00 ,59.00 ,819.70 ,-18.80 ,-19.10 ,-20.20 ,-41.90 ,1.00 ,-3.00 ,7.60 ,110.00 ,-40.60 ,65.00 
03.01.2013 03:00,5.30 ,112.00 ,-41.30 ,127.00 ,0.00 ,0.71 ,162.15 ,162.15 ,0.00 ,0.00 ,59.00 ,820.10 ,-18.80 ,-19.10 ,-20.20 ,-41.90 ,1.00 ,-3.00 ,7.00 ,110.00 ,-40.40 ,65.00 
03.01.2013 04:00,6.60 ,107.00 ,-40.60 ,127.00 ,0.00 ,0.71 ,164.40 ,164.40 ,0.00 ,0.00 ,59.00 ,820.10 ,-18.80 ,-19.10 ,-20.20 ,-41.10 ,1.00 ,-3.00 ,8.60 ,105.00 ,-39.90 ,65.00 
03.01.2013 05:00,7.00 ,106.00 ,-40.00 ,127.00 ,0.00 ,0.71 ,166.40 ,166.40 ,0.00 ,0.00 ,59.00 ,820.20 ,-18.80 ,-19.20 ,-20.20 ,-40.40 ,1.00 ,-3.00 ,9.00 ,105.00 ,-39.40 ,66.00 
03.01.2013 06:00,7.20 ,114.00 ,-39.20 ,127.00 ,0.00 ,0.71 ,168.70 ,168.70 ,0.00 ,0.00 ,59.00 ,820.30 ,-18.80 ,-19.20 ,-20.20 ,-39.60 ,1.00 ,-3.00 ,9.20 ,113.00 ,-38.60 ,66.00 
03.01.2013 07:00,6.30 ,114.00 ,-39.40 ,127.00 ,-0.80 ,0.00 ,168.12 ,168.12 ,0.00 ,0.00 ,59.00 ,820.70 ,-18.80 ,-19.20 ,-20.20 ,-39.80 ,2.00 ,-3.00 ,8.20 ,112.00 ,-38.60 ,66.00 
03.01.2013 08:00,6.00 ,117.00 ,-39.10 ,127.00 ,-0.80 ,0.71 ,168.41 ,168.41 ,0.00 ,0.00 ,59.00 ,820.90 ,-18.80 ,-19.20 ,-20.20 ,-39.70 ,1.00 ,-3.00 ,8.00 ,115.00 ,-38.10 ,67.00 
03.01.2013 09:00,6.00 ,121.00 ,-38.30 ,127.00 ,0.00 ,0.71 ,170.44 ,170.44 ,-0.66 ,0.00 ,58.00 ,820.90 ,-18.80 ,-19.20 ,-20.30 ,-39.00 ,2.00 ,-3.00 ,7.90 ,119.00 ,-37.40 ,67.00 
03.01.2013 10:00,6.30 ,124.00 ,-37.70 ,0.00 ,0.00 ,0.71 ,172.48 ,172.48 ,-0.66 ,0.00 ,59.00 ,821.00 ,-18.80 ,-19.20 ,-20.30 ,-38.30 ,2.00 ,-3.00 ,8.30 ,122.00 ,-36.90 ,67.00 
