Date,Wind_speed_1[m/s],Wind_direction_1[deg],Temperature_1[degC],Relative_humidity_1[%],SW_downward[W/m**2],SW_upward[W/m**2],LW_downward[W/m**2],LW_upward[W/m**2],NIR_downward[W/m**2],NIR_upward[W/m**2],Snow_depth[cm],Surface_pressure[hPa],Snow_temperature_1[degC],Snow_temperature_2[degC],Snow_temperature_3[degC],CNR4_body_temp[degC],Tilt_X[deg],Tilt_Y[deg],Wind_speed_2[m/s],Wind_direction_2[deg],Temperature_2[degC],Relative_humidity_2[%],Snow_temperature_4[degC],Snow_temperature_5[degC],Snow_temperature_6[degC]
01.01.2015 01:00,6.6,91,-27.7,0,0,0.71,197.51,191.65,-0.66,0,-54,809.9,-19.4,-19.5,-23.7,-28.3,0.7,-1,7.5,88,-26.6,60,-25.1,-29.2,-29.8
01.01.2015 02:00,7.2,94,-28,0,0,0.71,194.92,190.32,-0.66,0,-54,809.7,-19.4,-19.5,-23.7,-28.7,0.9,-1,8.1,91,-27.1,62,-25.1,-29.2,-30
01.01.2015 03:00,6.8,93,-27.6,0,0,0,195,191.65,-0.66,0,-54,809.6,-19.4,-19.5,-23.7,-28.3,0.8,-1.1,7.9,90,-25.9,62,-25.1,-29.1,-29.8
01.01.2015 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
01.01.2015 05:00,7.4,101,-27.7,0,0,0.71,190.89,191.32,-0.66,0,-54,809.7,-19.4,-19.5,-23.7,-28.4,0.8,-1.3,8.3,98,-27.1,65,-25.1,-29.2,-29.5
01.01.2015 06:00,7.4,107,-27.7,0,0,0.71,190.3,193.5,-0.66,0,-53,809.9,-19.4,-19.5,-23.7,-28.2,0.7,-1.3,8.3,104,-26.9,67,-25.1,-29.1,-29.4
01.01.2015 07:00,6.7,108,-27.8,0,0,0.71,186.79,190.99,-0.66,0,-54,810.2,-19.4,-19.5,-23.7,-28.5,1.6,-0.5,7.7,105,-26.8,68,-25.1,-29.1,-29.9
01.01.2015 08:00,7,110,-28.3,0,0,0,185.47,189.66,-0.66,0,-53,810.4,-19.4,-19.5,-23.7,-28.9,0.6,-1.3,8.1,107,-27.2,68,-25.1,-29.2,-30.2
01.01.2015 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
01.01.2015 10:00,6.7,109,-27.7,0,0,0.71,185.21,190.65,-0.66,0,-54,811,-19.4,-19.5,-23.7,-28.6,0.6,-1.1,8,107,-25.6,68,-25.1,-29.2,-30.1
01.01.2015 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
01.01.2015 12:00,6.4,108,-27.5,0,0,0.71,183.36,191.32,-0.66,0,-54,811.7,-19.4,-19.5,-23.7,-28.4,0.5,-1.1,7.8,107,-24.3,67,-25.1,-29.2,-30.1
01.01.2015 13:00,6.8,108,-27.5,0,0,0.71,182.1,191.32,-0.66,0,-54,812.1,-19.4,-19.5,-23.7,-28.4,0.9,-0.7,8,106,-25.2,64,-25.1,-29.2,-30
01.01.2015 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
01.01.2015 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
01.01.2015 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
