Date,Wind_speed_1[m/s],Wind_direction_1[deg],Temperature_1[degC],Relative_humidity_1[%],SW_downward[W/m**2],SW_upward[W/m**2],LW_downward[W/m**2],LW_upward[W/m**2],NIR_downward[W/m**2],NIR_upward[W/m**2],Snow_depth[cm],Surface_pressure[hPa],Snow_temperature_1[degC],Snow_temperature_2[degC],Snow_temperature_3[degC],CNR4_body_temp[degC],Tilt_X[deg],Tilt_Y[deg],Wind_speed_2[m/s],Wind_direction_2[deg],Temperature_2[degC],Relative_humidity_2[%]
01.01.2013 01:00,2.80 ,17.00 ,-26.10 ,43.00 ,-2.36 ,1.02 ,132.31 ,177.74 ,-9999.00 ,-9999.00 ,16.00 ,894.20 ,-9999.00 ,-9999.00 ,-9999.00 ,-27.20 ,0.00 ,-1.00 ,-9999.00 ,-9999.00 ,-9999.00 ,-9999.00 
01.01.2013 02:00,2.10 ,350.00 ,-26.70 ,42.00 ,-2.36 ,1.02 ,132.23 ,176.77 ,-9999.00 ,-9999.00 ,16.00 ,894.00 ,-9999.00 ,-9999.00 ,-9999.00 ,-27.90 ,0.00 ,-1.00 ,-9999.00 ,-9999.00 ,-9999.00 ,-9999.00 
01.01.2013 03:00,2.50 ,19.00 ,-26.30 ,44.00 ,-2.36 ,1.02 ,132.06 ,177.42 ,-9999.00 ,-9999.00 ,17.00 ,893.60 ,-9999.00 ,-9999.00 ,-9999.00 ,-27.50 ,0.00 ,-1.00 ,-9999.00 ,-9999.00 ,-9999.00 ,-9999.00 
01.01.2013 04:00,2.20 ,24.00 ,-26.50 ,46.00 ,-2.36 ,1.02 ,132.57 ,176.41 ,-9999.00 ,-9999.00 ,17.00 ,893.20 ,-9999.00 ,-9999.00 ,-9999.00 ,-27.80 ,0.00 ,-1.00 ,-9999.00 ,-9999.00 ,-9999.00 ,-9999.00 
01.01.2013 05:00,1.80 ,28.00 ,-26.90 ,47.00 ,-2.36 ,1.02 ,131.56 ,176.79 ,-9999.00 ,-9999.00 ,18.00 ,893.00 ,-9999.00 ,-9999.00 ,-9999.00 ,-28.10 ,0.00 ,-1.00 ,-9999.00 ,-9999.00 ,-9999.00 ,-9999.00 
01.01.2013 06:00,1.60 ,23.00 ,-27.00 ,45.00 ,-2.36 ,1.02 ,132.84 ,175.10 ,-9999.00 ,-9999.00 ,18.00 ,892.60 ,-9999.00 ,-9999.00 ,-9999.00 ,-28.40 ,0.00 ,-1.00 ,-9999.00 ,-9999.00 ,-9999.00 ,-9999.00 
01.01.2013 07:00,2.00 ,45.00 ,-26.50 ,43.00 ,-2.36 ,1.02 ,133.75 ,176.08 ,-9999.00 ,-9999.00 ,18.00 ,892.10 ,-9999.00 ,-9999.00 ,-9999.00 ,-27.90 ,0.00 ,-1.00 ,-9999.00 ,-9999.00 ,-9999.00 ,-9999.00 
01.01.2013 08:00,2.80 ,37.00 ,-25.00 ,35.00 ,-2.36 ,1.02 ,136.80 ,179.40 ,-9999.00 ,-9999.00 ,19.00 ,891.70 ,-9999.00 ,-9999.00 ,-9999.00 ,-26.10 ,0.00 ,-1.00 ,-9999.00 ,-9999.00 ,-9999.00 ,-9999.00 
01.01.2013 09:00,4.10 ,29.00 ,-25.60 ,33.00 ,-2.36 ,0.00 ,152.06 ,187.71 ,-9999.00 ,-9999.00 ,18.00 ,891.20 ,-9999.00 ,-9999.00 ,-9999.00 ,-26.30 ,0.00 ,-1.00 ,-9999.00 ,-9999.00 ,-9999.00 ,-9999.00 
01.01.2013 10:00,3.40 ,44.00 ,-24.90 ,32.00 ,-1.18 ,0.00 ,170.82 ,195.30 ,-9999.00 ,-9999.00 ,18.00 ,890.70 ,-9999.00 ,-9999.00 ,-9999.00 ,-25.70 ,0.00 ,-1.00 ,-9999.00 ,-9999.00 ,-9999.00 ,-9999.00 
