Date,Wind_speed_1[m/s],Wind_direction_1[deg],Temperature_1[degC],Relative_humidity_1[%],SW_downward[W/m**2],SW_upward[W/m**2],LW_downward[W/m**2],LW_upward[W/m**2],NIR_downward[W/m**2],NIR_upward[W/m**2],Snow_depth[cm],Surface_pressure[hPa],Snow_temperature_1[degC],Snow_temperature_2[degC],Snow_temperature_3[degC],CNR4_body_temp[degC],Tilt_X[deg],Tilt_Y[deg],Wind_speed_2[m/s],Wind_direction_2[deg],Temperature_2[degC],Relative_humidity_2[%]
01.01.2016 01:00,1.8,322,-26.8,58,-2.36,1.02,128.95,179.92,-9999,-9999,27,871.3,-9999,-9999,-9999,-28.2,0.1,-0.6,-9999,-9999,-9999,-9999
01.01.2016 02:00,2.1,328,-26.9,65,-2.36,1.02,130.47,180.61,-9999,-9999,26,872.5,-9999,-9999,-9999,-28.2,0.1,-0.6,-9999,-9999,-9999,-9999
01.01.2016 03:00,4.1,334,-27.3,76,-2.36,0,139.16,184.4,-9999,-9999,27,873.4,-9999,-9999,-9999,-28.1,0,-0.6,-9999,-9999,-9999,-9999
01.01.2016 04:00,4.5,345,-27.3,76,-2.36,1.02,155.53,189.6,-9999,-9999,26,874.2,-9999,-9999,-9999,-28.2,0,-0.6,-9999,-9999,-9999,-9999
01.01.2016 05:00,2.8,346,-26.5,76,-3.54,1.02,170.02,191.94,-9999,-9999,26,875,-9999,-9999,-9999,-27.5,0,-0.7,-9999,-9999,-9999,-9999
01.01.2016 06:00,2.6,344,-26.6,76,-3.54,1.02,177.28,194.37,-9999,-9999,25,875.6,-9999,-9999,-9999,-27.6,0.1,-0.7,-9999,-9999,-9999,-9999
01.01.2016 07:00,2.3,346,-26.4,76,-3.54,1.02,183.69,196.09,-9999,-9999,26,876.1,-9999,-9999,-9999,-27.5,0,-0.6,-9999,-9999,-9999,-9999
01.01.2016 08:00,2.9,4,-26.2,76,-3.54,1.02,188.24,197.48,-9999,-9999,25,876.4,-9999,-9999,-9999,-27.5,0.1,-0.7,-9999,-9999,-9999,-9999
01.01.2016 09:00,2.7,26,-25.5,75,-3.54,1.02,193.56,201.9,-9999,-9999,25,876.9,-9999,-9999,-9999,-26.6,0.1,-0.6,-9999,-9999,-9999,-9999
01.01.2016 10:00,3,27,-25.7,73,-3.54,1.02,192.88,201.91,-9999,-9999,24,877.3,-9999,-9999,-9999,-26.8,0.1,-0.5,-9999,-9999,-9999,-9999
