"TOA5","BOWDOIN-1","CR1000","16188","CR1000.Std.15","CPU:SENSORKETTE-1-2014.CR1","11029","All"
"TIMESTAMP","RECORD","BatV","PTemp","res(1)","res(2)","res(3)","res(4)","res(5)"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2015-05-13 02:10:00",26422,13.56,1.692,"",""," 51,  236125, -111260, 9999, 9999, 9999, 20.330831, -0.394043,  -275  "," 64, -172944,  206238, 9999, 9999, 9999, 13.467952, -2.241211, -2663  ","  2, -226465,   66460, -210, 3717,  451,  2.108688, -3.498291, -4094  "
"2015-05-13 02:20:00",26423,13.56,1.096,"",""," 51,  236173, -111247, 9999, 9999, 9999, 20.331274,  -0.41333,  -279  "," 64, -172998,  206275, 9999, 9999, 9999, 13.455501, -2.241211, -2646  ","  2, -226467,   66500, -211, 3718,  450,  2.104965, -3.556885, -4086  "
"2015-05-13 02:30:00",26424,13.57,0.542,"",""," 51,  236208, -111251, 9999, 9999, 9999,  20.32937,  -0.41333,  -279  "," 64, -172999,  206233, 9999, 9999, 9999, 13.448457,  -2.22168, -2654  ","  2, -226456,   66454, -207, 3722,  444,  2.110991, -3.556885, -4086  "
"2015-05-13 02:40:00",26425,13.57,0.011,"",""," 51,  236170, -111254, 9999, 9999, 9999, 20.329305,  -0.41333,  -279  "," 64, -173075,  206269, 9999, 9999, 9999, 13.444465, -2.241211, -2659  ","  2, -226487,   66455, -211, 3718,  444,  2.110857, -3.498291, -4081  "
"2015-05-13 02:50:00",26426,13.56,-0.416,"",""," 51,  236203, -111227, 9999, 9999, 9999, 20.330991, -0.394043,  -275  "," 64, -172959,  206206, 9999, 9999, 9999,  13.43831, -2.241211, -2654  ","  2, -226508,   66436, -210, 3717,  447,  2.110723, -3.537598, -4086  "
"2015-05-13 03:00:00",26427,13.55,-0.734,"",""," 51,  236180, -111258, 9999, 9999, 9999, 20.333364,  -0.41333,  -266  "," 64, -173091,  206236, 9999, 9999, 9999, 13.428421, -2.280762, -2650  ","  2, -226498,   66466, -209, 3720,  447,  2.106319, -3.498291, -4077  "
"2015-05-13 03:10:00",26428,13.56,-1.01,"",""," 51,  236220, -111229, 9999, 9999, 9999, 20.332952, -0.394043,  -275  "," 64, -172990,  206262, 9999, 9999, 9999, 13.417493,  -2.26123, -2650  ","  2, -226511,   66444, -211, 3722,  444,  2.109695, -3.517822, -4081  "
"2015-05-13 03:20:00",26429,13.57,-1.202,"",""," 51,  236205, -111249, 9999, 9999, 9999, 20.335765, -0.432373,  -270  "," 64, -173044,  206266, 9999, 9999, 9999,  13.40953,  -2.22168, -2654  ","  2, -226525,   66482, -211, 3721,  442,  2.108376, -3.498291, -4077  "
"2015-05-13 03:30:00",26430,13.57,-1.374,"","",""," 64, -173070,  206325, 9999, 9999, 9999, 13.398441,  -2.26123, -2654  ","  2, -226518,   66504, -213, 3718,  438,  2.109331, -3.498291, -4086  "
"2015-05-13 03:40:00",26431,13.56,-1.523,"",""," 51,  236194, -111247, 9999, 9999, 9999,  20.33595,  -0.41333,  -270  "," 64, -173070,  206255, 9999, 9999, 9999, 13.391298,  -2.22168, -2659  ","  2, -226514,   66475, -211, 3719,  438,   2.11112, -3.537598, -4081  "
"2015-05-13 03:50:00",26432,13.56,-1.672,"",""," 51,  236186, -111259, 9999, 9999, 9999, 20.332815,  -0.38623,  -279  "," 64, -173121,  206317, 9999, 9999, 9999, 13.385738,  -2.26123, -2650  ","  2, -226507,   66478, -211, 3721,  436,  2.111095, -3.517822, -4081  "
"2015-05-13 04:00:00",26433,13.55,-1.778,"",""," 51,  236248, -111274, 9999, 9999, 9999, 20.337476,  -0.41333,  -257  "," 64, -173042,  206308, 9999, 9999, 9999,  13.37265, -2.241211, -2650  ","  2, -226459,   66493, -214, 3719,  436,  2.108211, -3.517822, -4077  "
"2015-05-13 04:10:00",26434,13.57,-1.907,"",""," 51,  236219, -111260, 9999, 9999, 9999, 20.336927,  -0.38623,  -270  "," 64, -173168,  206230, 9999, 9999, 9999, 13.367546,  -2.26123, -2650  ","  2, -226479,   66486, -212, 3721,  436,  2.110674, -3.498291, -4081  "
"2015-05-13 04:20:00",26435,13.57,-2.056,"",""," 51,  236243, -111240, 9999, 9999, 9999, 20.338823, -0.405518,  -266  "," 64, -173064,  206302, 9999, 9999, 9999, 13.360189, -2.241211, -2646  ","  2, -226527,   66508, -212, 3724,  437,  2.110922, -3.537598, -4077  "
"2015-05-13 04:30:00",26436,13.57,-2.185,"",""," 51,  236263, -111277, 9999, 9999, 9999, 20.338132, -0.405518,  -270  "," 64, -173191,  206220, 9999, 9999, 9999, 13.349782,  -2.26123, -2641  ","  2, -226511,   66511, -206, 3721,  438,  2.108896, -3.498291, -4081  "
"2015-05-13 04:40:00",26437,13.55,-2.314,"",""," 51,  236216, -111280, 9999, 9999, 9999, 20.336135, -0.348145,  -266  "," 64, -173079,  206376, 9999, 9999, 9999,  13.34674,  -2.22168, -2650  ","  2, -226532,   66477, -207, 3721,  440,  2.110643, -3.517822, -4073  "
"2015-05-13 04:50:00",26438,13.56,-2.4,"",""," 51,  236236, -111260, 9999, 9999, 9999, 20.339151, -0.394043,  -266  "," 64, -173075,  206297, 9999, 9999, 9999, 13.335407, -2.241211, -2646  ","  2, -226495,   66484, -209, 3723,  436,  2.113056, -3.517822, -4081  "
"2015-05-13 05:00:00",26439,13.56,-2.463,"",""," 51,  236234, -111280, 9999, 9999, 9999, 20.340862, -0.367187,  -275  "," 64, -173173,  206313, 9999, 9999, 9999,  13.32567,  -2.22168, -2646  ","  2, -226574,   66496, -206, 3723,  437,  2.111853, -3.517822, -4090  "
"2015-05-13 05:10:00",26440,13.57,-2.506,"",""," 51,  236267, -111255, 9999, 9999, 9999, 20.340791,  -0.38623,  -275  "," 64, -173170,  206385, 9999, 9999, 9999, 13.315557, -2.241211, -2654  ","  2, -226552,   66543, -203, 3723,  438,  2.113056, -3.517822, -4077  "
"2015-05-13 05:20:00",26441,13.56,-2.526,"",""," 51,  236257, -111292, 9999, 9999, 9999, 20.340568, -0.367187,  -275  "," 64, -173150,  206387, 9999, 9999, 9999, 13.308732,  -2.22168, -2659  ","  2, -226539,   66515, -201, 3719,  435,  2.108574, -3.517822, -4081  "
"2015-05-13 05:30:00",26442,13.56,-2.549,"","",""," 64, -173217,  206336, 9999, 9999, 9999, 13.300924,  -2.22168, -2650  ","  2, -226537,   66535, -199, 3718,  435,  2.111498, -3.537598, -4077  "
"2015-05-13 05:40:00",26443,13.56,-2.592,"",""," 51,  236275, -111282, 9999, 9999, 9999, 20.340463,  -0.38623,  -270  "," 64, -173203,  206318, 9999, 9999, 9999, 13.287147,  -2.20166, -2650  ","  2, -226521,   66530, -199, 3724,  434,  2.110332, -3.517822, -4081  "
"2015-05-13 05:50:00",26444,13.56,-2.612,"",""," 51,  236276, -111275, 9999, 9999, 9999, 20.342029, -0.432373,  -275  "," 64, -173178,  206353, 9999, 9999, 9999,  13.27742, -2.241211, -2646  ","  2, -226567,   66506, -196, 3724,  435,   2.10919, -3.537598, -4077  "
"2015-05-13 06:00:00",26445,13.55,-2.655,"",""," 51,  236295, -111332, 9999, 9999, 9999, 20.338088, -0.367187,  -270  "," 64, -173184,  206341, 9999, 9999, 9999, 13.279468, -2.241211, -2650  ","  2, -226536,   66485, -195, 3721,  433,  2.108486, -3.517822, -4073  "
"2015-05-13 06:10:00",26446,13.54,-2.677,"",""," 51,  236304, -111320, 9999, 9999, 9999, 20.341871, -0.405518,  -266  "," 64, -173214,  206421, 9999, 9999, 9999, 13.270627,  -2.22168, -2650  ","  2, -226497,   66525, -194, 3723,  436,  2.111641,  -3.47876, -4077  "
"2015-05-13 06:20:00",26447,13.54,-2.698,"",""," 51,  236283, -111284, 9999, 9999, 9999, 20.337369, -0.405518,  -275  "," 64, -173222,  206377, 9999, 9999, 9999,  13.26369,  -2.22168, -2650  ","  2, -226536,   66511, -193, 3726,  440,  2.111757, -3.556885, -4081  "
"2015-05-13 06:30:00",26448,13.54,-2.741,"",""," 51,  236297, -111273, 9999, 9999, 9999, 20.336399, -0.432373,  -266  "," 64, -173181,  206469, 9999, 9999, 9999, 13.253692,  -2.22168, -2659  ","  2, -226556,   66506, -196, 3727,  438,  2.108593, -3.517822, -4077  "
"2015-05-13 06:40:00",26449,13.54,-2.741,"",""," 51,  236303, -111322, 9999, 9999, 9999, 20.337789,  -0.38623,  -266  "," 64, -173270,  206349, 9999, 9999, 9999, 13.251129, -2.241211, -2650  ","  2, -226566,   66504, -196, 3723,  439,  2.108816, -3.517822, -4077  "
"2015-05-13 06:50:00",26450,13.55,-2.784,"",""," 51,  236330, -111285, 9999, 9999, 9999, 20.338268, -0.432373,  -266  "," 64, -173252,  206398, 9999, 9999, 9999, 13.264053,  -2.22168, -2659  ","  2, -226558,   66542, -197, 3728,  437,  2.112272,  -3.47876, -4081  "
"2015-05-13 07:00:00",26451,13.57,-2.763,"",""," 51,  236340, -111321, 9999, 9999, 9999, 20.339969, -0.432373,  -257  "," 64, -173298,  206321, 9999, 9999, 9999, 13.304437,  -2.22168, -2650  ","  2, -226535,   66541, -206, 3733,  437,  2.112568, -3.517822, -4081  "
"2015-05-13 07:10:00",26452,13.56,-2.72,"",""," 51,  236326, -111289, 9999, 9999, 9999, 20.336801,  -0.41333,  -279  "," 64, -173292,  206431, 9999, 9999, 9999, 13.381183, -2.241211, -2637  ","  2, -226538,   66500, -203, 3728,  435,  2.108374, -3.498291, -4081  "
"2015-05-13 07:20:00",26453,13.55,-2.655,"",""," 51,  236343, -111304, 9999, 9999, 9999,  20.33542,  -0.41333,  -266  "," 64, -173231,  206388, 9999, 9999, 9999, 13.461605, -2.241211, -2654  ","  2, -226565,   66527, -204, 3727,  432,   2.11511, -3.517822, -4081  "
"2015-05-13 07:30:00",26454,13.56,-2.635,"",""," 51,  236338, -111291, 9999, 9999, 9999, 20.335451,  -0.41333,  -270  "," 64, -173254,  206446, 9999, 9999, 9999, 13.479269,  -2.22168, -2646  ","  2, -226577,   66507, -208, 3728,  434,  2.107885, -3.517822, -4073  "
"2015-05-13 07:40:00",26455,13.55,-2.592,"",""," 51,  236388, -111340, 9999, 9999, 9999, 20.329141,  -0.41333,  -275  "," 64, -173326,  206381, 9999, 9999, 9999, 13.472187, -2.241211, -2654  ","  2, -226584,   66517, -207, 3726,  433,  2.108541, -3.498291, -4086  "
"2015-05-13 07:50:00",26456,13.57,-2.569,"",""," 51,  236342, -111318, 9999, 9999, 9999, 20.332117,  -0.41333,  -279  "," 64, -173284,  206401, 9999, 9999, 9999, 13.470008,  -2.22168, -2646  ","  2, -226560,   66531, -205, 3726,  432,  2.108948, -3.517822, -4081  "
"2015-05-13 08:00:00",26457,13.55,-2.506,"","",""," 64, -173398,  206541, 9999, 9999, 9999, 13.461671, -2.241211, -2641  ","  2, -226613,   66504, -211, 3723,  430,  2.109827, -3.556885, -4077  "
"2015-05-13 08:10:00",26458,13.54,-2.442,"",""," 51,  236361, -111340, 9999, 9999, 9999, 20.327291,  -0.41333,  -279  "," 64, -173345,  206481, 9999, 9999, 9999, 13.461502, -2.241211, -2650  ","  2, -226570,   66511, -208, 3728,  429,  2.109297, -3.537598, -4081  "
"2015-05-13 08:20:00",26459,13.56,-2.357,"",""," 51,  236370, -111333, 9999, 9999, 9999, 20.325929,  -0.41333,  -266  "," 64, -173299,  206445, 9999, 9999, 9999, 13.446746, -2.241211, -2659  ","  2, -226567,   66504, -206, 3728,  430,  2.107838, -3.517822, -4081  "
"2015-05-13 08:30:00",26460,13.56,-2.248,"",""," 51,  236368, -111335, 9999, 9999, 9999, 20.327505,  -0.41333,  -275  "," 64, -173361,  206461, 9999, 9999, 9999, 13.432474,  -2.26123, -2637  ","  2, -226568,   66537, -208, 3727,  427,  2.110043, -3.517822, -4090  "
"2015-05-13 08:40:00",26461,13.57,-2.142,"",""," 51,  236361, -111335, 9999, 9999, 9999, 20.329658, -0.432373,  -279  "," 64, -173312,  206470, 9999, 9999, 9999,  13.42143, -2.241211, -2654  ","  2, -226590,   66535, -210, 3724,  431,   2.10844, -3.498291, -4090  "
