start,end,velocity,error,quality
2015-02-04,2015-02-16,342.3,45.7,0.67
2015-02-16,2015-05-23,328.6,06.2,0.64
2015-05-23,2015-06-04,365.1,53.6,0.70
2015-06-04,2015-06-16,474.7,46.5,0.71
2015-06-16,2015-07-10,591.5,24.2,0.58
2015-07-10,2015-08-15,280.5,15.7,0.65
2015-08-15,2015-08-27,255.5,46.5,0.67
2015-08-27,2015-09-08,357.1,44.9,0.66
2015-09-08,2015-09-20,336.4,46.0,0.68
2015-09-20,2015-10-02,259.0,46.7,0.76
2015-10-02,2015-10-14,360.2,46.0,0.75
2015-10-14,2015-10-26,261.7,55.2,0.75
2015-10-26,2015-11-07,320.1,46.0,0.74
2015-11-07,2015-11-19,328.8,52.3,0.74
2015-11-19,2015-12-01,292.1,49.9,0.71
2015-12-01,2015-12-13,264.9,49.4,0.74
2015-12-13,2015-12-25,331.3,51.1,0.76
2015-12-25,2016-01-06,251.3,45.9,0.72
2016-01-06,2016-01-18,240.7,45.4,0.73
2016-01-18,2016-01-30,364.8,46.8,0.72
