YYYY-MM-DD (avg), time-diff (days), vel (m/a), vel_error (m/a), quality (0...1), YYYY-MM-DD (1st), YYYY-MM-DD (2nd)
2015-02-10,  12, 348.1, 44.0, 0.49, 2015-02-04, 2015-02-16
2015-03-30, 108, 346.7, 04.9, 0.29, 2015-02-04, 2015-05-23
2015-04-05,  96, 353.0, 05.5, 0.26, 2015-02-16, 2015-05-23
2015-04-05,  96, 353.0, 05.5, 0.26, 2015-02-16, 2015-05-23
2015-05-29,  12, 303.1, 44.1, 0.39, 2015-05-23, 2015-06-04
2015-06-04,  24, 400.5, 24.7, 0.25, 2015-05-23, 2015-06-16
2015-06-10,  12, 495.7, 43.9, 0.45, 2015-06-04, 2015-06-16
2015-06-16,  24, 507.7, 22.0, 0.35, 2015-06-04, 2015-06-28
2015-06-22,  12, 641.5, 43.9, 0.38, 2015-06-16, 2015-06-28
2015-06-28,  24, 586.5, 23.8, 0.30, 2015-06-16, 2015-07-10
2015-07-04,  12, 502.2, 44.4, 0.41, 2015-06-28, 2015-07-10
2015-07-22,  48, 417.2, 11.0, 0.35, 2015-06-28, 2015-08-15
2015-07-28,  36, 345.5, 18.5, 0.22, 2015-07-10, 2015-08-15
2015-07-28,  36, 345.5, 18.5, 0.22, 2015-07-10, 2015-08-15
2015-08-21,  12, 301.1, 44.6, 0.53, 2015-08-15, 2015-08-27
2015-08-27,  24, 305.2, 27.6, 0.30, 2015-08-15, 2015-09-08
2015-09-02,  12, 356.3, 44.4, 0.41, 2015-08-27, 2015-09-08
2015-09-08,  24, 308.4, 22.1, 0.36, 2015-08-27, 2015-09-20
2015-09-14,  12, 298.9, 43.9, 0.37, 2015-09-08, 2015-09-20
2015-09-20,  24, 383.8, 22.0, 0.35, 2015-09-08, 2015-10-02
2015-09-26,  12, 297.6, 43.9, 0.52, 2015-09-20, 2015-10-02
2015-10-02,  24, 331.9, 22.1, 0.38, 2015-09-20, 2015-10-14
2015-10-08,  12, 299.0, 44.4, 0.47, 2015-10-02, 2015-10-14
2015-10-14,  24, 298.5, 22.0, 0.42, 2015-10-02, 2015-10-26
2015-10-20,  12, 301.8, 44.0, 0.43, 2015-10-14, 2015-10-26
2015-10-26,  24, 334.2, 23.0, 0.40, 2015-10-14, 2015-11-07
2015-11-01,  12, 304.0, 44.0, 0.67, 2015-10-26, 2015-11-07
2015-11-07,  24, 345.9, 25.5, 0.47, 2015-10-26, 2015-11-19
2015-11-13,  12, 362.5, 53.6, 0.40, 2015-11-07, 2015-11-19
2015-11-19,  24, 353.7, 24.7, 0.40, 2015-11-07, 2015-12-01
2015-11-25,  12, 317.4, 45.9, 0.42, 2015-11-19, 2015-12-01
2015-12-01,  24, 312.3, 38.5, 0.41, 2015-11-19, 2015-12-13
2015-12-07,  12, 296.1, 44.0, 0.47, 2015-12-01, 2015-12-13
2015-12-13,  24, 327.2, 22.0, 0.51, 2015-12-01, 2015-12-25
2015-12-19,  12, 302.6, 44.1, 0.45, 2015-12-13, 2015-12-25
2015-12-25,  24, 298.2, 22.1, 0.44, 2015-12-13, 2016-01-06
2015-12-31,  12, 295.2, 43.9, 0.44, 2015-12-25, 2016-01-06
2016-01-06,  24, 323.2, 22.0, 0.43, 2015-12-25, 2016-01-18
2016-01-12,  12, 289.7, 43.9, 0.66, 2016-01-06, 2016-01-18
2016-01-18,  24, 297.6, 22.0, 0.42, 2016-01-06, 2016-01-30
2016-01-24,  12, 358.3, 43.9, 0.47, 2016-01-18, 2016-01-30
2016-01-30,  24, 320.9, 27.5, 0.41, 2016-01-18, 2016-02-11
2016-02-05,  12, 347.6, 53.0, 0.52, 2016-01-30, 2016-02-11
2016-02-11,  24, 301.5, 22.3, 0.48, 2016-01-30, 2016-02-23
2016-02-17,  12, 280.2, 44.2, 0.66, 2016-02-11, 2016-02-23
2016-02-23,  24, 292.7, 25.4, 0.46, 2016-02-11, 2016-03-06
2016-02-29,  12, 302.3, 51.2, 0.51, 2016-02-23, 2016-03-06
2016-03-06,  24, 320.6, 22.0, 0.42, 2016-02-23, 2016-03-18
2016-03-12,  12, 289.4, 44.0, 0.43, 2016-03-06, 2016-03-18
2016-03-18,  24, 323.2, 22.5, 0.49, 2016-03-06, 2016-03-30
2016-03-24,  12, 292.0, 44.1, 0.45, 2016-03-18, 2016-03-30
2016-03-30,  24, 329.5, 22.0, 0.49, 2016-03-18, 2016-04-11
2016-04-05,  12, 316.3, 44.4, 0.45, 2016-03-30, 2016-04-11
2016-04-11,  24, 301.3, 22.0, 0.42, 2016-03-30, 2016-04-23
2016-04-17,  12, 295.0, 44.0, 0.43, 2016-04-11, 2016-04-23
2016-04-23,  24, 296.4, 22.0, 0.40, 2016-04-11, 2016-05-05
2016-04-29,  12, 369.0, 44.0, 0.66, 2016-04-23, 2016-05-05
2016-05-05,  24, 324.3, 27.3, 0.44, 2016-04-23, 2016-05-17
2016-05-11,  12, 360.9, 55.4, 0.41, 2016-05-05, 2016-05-17
2016-05-11,  12, 360.9, 55.4, 0.41, 2016-05-05, 2016-05-17
2016-05-11,  12, 337.8, 54.5, 0.41, 2016-05-05, 2016-05-17
2016-05-17,  24, 332.7, 25.2, 0.28, 2016-05-05, 2016-05-29
2016-05-17,  24, 331.8, 23.4, 0.28, 2016-05-05, 2016-05-29
2016-05-23,  12, 370.2, 44.0, 0.30, 2016-05-17, 2016-05-29
2016-05-23,  12, 369.7, 44.0, 0.30, 2016-05-17, 2016-05-29
2016-05-29,  24, 321.6, 22.2, 0.35, 2016-05-17, 2016-06-10
