Date,Wind_speed_1[m/s],Wind_direction_1[deg],Temperature_1[degC],Relative_humidity_1[%],SW_downward[W/m**2],SW_upward[W/m**2],LW_downward[W/m**2],LW_upward[W/m**2],NIR_downward[W/m**2],NIR_upward[W/m**2],Snow_depth[cm],Surface_pressure[hPa],Snow_temperature_1[degC],Snow_temperature_2[degC],Snow_temperature_3[degC],CNR4_body_temp[degC],Tilt_X[deg],Tilt_Y[deg],Wind_speed_2[m/s],Wind_direction_2[deg],Temperature_2[degC],Relative_humidity_2[%],Snow_temperature_4[degC],Snow_temperature_5[degC],Snow_temperature_6[degC]
01.01.2016 01:00,5.7,86,-31.6,0,-1.6,0,190.49,191.75,-0.66,0,-38,808.3,-18.2,-18.3,-21.5,-32,0.4,-2.1,7.1,82,-31,73,-22.5,-26.2,-31.4
01.01.2016 02:00,6.2,85,-32.8,0,-1.6,0,186.7,187.96,-0.66,0,-38,809,-18.2,-18.3,-21.5,-33.2,-0.4,-2.9,7.6,82,-32.1,72,-22.5,-26.2,-31.4
01.01.2016 03:00,5.5,79,-33.2,0,-1.6,0,186.4,186.4,-0.66,0,-38,809.9,-18.2,-18.3,-21.5,-33.7,0.5,-2.9,6.4,75,-32.5,72,-22.5,-26.2,-31.4
01.01.2016 04:00,5.8,72,-34.4,0,-1.6,0,182.69,182.69,-0.66,0,-38,810.8,-18.2,-18.3,-21.5,-34.9,-0.2,-3,6.6,69,-33.7,71,-22.5,-26.2,-31.4
01.01.2016 05:00,5.9,72,-34.8,0,-1.6,0,181.47,181.47,-0.66,0,-37,811.5,-18.2,-18.3,-21.5,-35.3,-0.2,-2.7,6.7,69,-34,71,-22.6,-26.2,-31.4
01.01.2016 06:00,5.3,62,-35,0,-1.6,0,180.86,180.86,-0.66,0,-38,812.2,-18.2,-18.3,-21.5,-35.5,-0.2,-2.5,6.2,60,-33.9,71,-22.6,-26.2,-31.5
01.01.2016 07:00,4.5,63,-34.9,0,-1.6,0,179.64,179.64,-0.66,0,-38,812.6,-18.2,-18.3,-21.5,-35.9,0,-2.8,5.6,63,-31.6,73,-22.5,-26.2,-31.6
01.01.2016 08:00,4.4,58,-35.1,0,-1.6,0,178.13,178.13,-0.66,0,-38,813.2,-18.2,-18.4,-21.5,-36.4,0,-2.8,5.2,63,-29.4,74,-22.6,-26.2,-31.7
01.01.2016 09:00,4,53,-33.7,0,-2.4,0,176.27,177.53,-0.66,0,-44,813.7,-18.2,-18.3,-21.5,-36.6,0.1,-2.6,4.5,57,-28.4,75,-22.6,-26.2,-31.8
01.01.2016 10:00,3.8,57,-29.7,0,-1.6,0,178.08,179.34,-0.66,0,-40,814.2,-18.2,-18.3,-21.5,-36,-0.1,-2.5,3.6,58,-27.5,75,-22.5,-26.3,-31.9
01.01.2016 11:00,4.2,46,-33.2,0,-2.4,0,175.38,176.63,-0.66,0,-43,814.4,-18.2,-18.3,-21.5,-36.9,0.2,-2.8,4.5,45,-27.2,76,-22.6,-26.3,-32
01.01.2016 12:00,4.4,50,-33.2,0,-1.6,0,177.18,178.43,-0.66,0,-39,814.5,-18.2,-18.3,-21.5,-36.3,0,-2.7,5.7,51,-26.5,76,-22.6,-26.2,-32.2
01.01.2016 13:00,4.4,51,-28.3,0,-1.6,0,183.28,184.54,-0.66,0,-43,814.5,-18.2,-18.4,-21.5,-34.3,0.3,-2.7,5.1,49,-25.2,75,-22.6,-26.2,-32.4
01.01.2016 14:00,3.9,49,-25.1,0,-1.6,-0.71,201.21,200.94,-0.66,0,-44,814.7,-18.2,-18.4,-21.5,-28.7,0.5,-2.4,3.7,47,-24,57,-22.6,-26.2,-32.5
01.01.2016 15:00,3.8,51,-24.6,0,-1.6,0,204.79,203.27,-0.66,0,-43,814.9,-18.2,-18.4,-21.5,-28,0.4,-2.6,3.5,49,-23.4,45,-22.6,-26.2,-32.6
01.01.2016 16:00,4.1,50,-24.4,0,-4,-2.12,207.91,207.65,-0.66,0,-45,814.9,-18.3,-18.4,-21.5,-26.7,0,-2.6,3.7,49,-23.1,39,-22.6,-26.2,-32.8
01.01.2016 17:00,5.3,54,-30.7,0,-2.4,-0.71,183.92,183.92,-0.66,0,31,815,-18.3,-18.4,-21.5,-34.5,0.1,-3.1,5.3,59,-23.3,41,-22.6,-26.2,-32.9
01.01.2016 18:00,5.2,44,-33.2,0,-1.6,0,183.3,183.3,-0.66,0,-38,815,-18.3,-18.4,-21.5,-34.7,0.1,-2.7,5.8,45,-24.2,50,-22.6,-26.2,-33
01.01.2016 19:00,5.3,36,-32.6,0,-1.6,0,184.21,185.47,-0.66,0,-39,814.9,-18.3,-18.4,-21.5,-34,0.2,-2.8,5.9,32,-22.6,53,-22.6,-26.2,-33.1
01.01.2016 20:00,5.6,43,-31.8,0,-1.6,0.71,187.33,188.59,-0.66,0,-38,815.1,-18.3,-18.4,-21.5,-33,0,-2.7,7.2,41,-27.5,62,-22.6,-26.2,-33.2
01.01.2016 21:00,6.2,44,-30.6,0,-1.6,0.71,191.77,193.02,-0.66,0,22,815.3,-18.3,-18.4,-21.5,-31.6,0,-2.6,7.5,42,-28.7,67,-22.6,-26.2,-33.3
01.01.2016 22:00,6.4,43,-29.9,0,-1.6,0,194.34,195.59,-0.66,0,-38,815.3,-18.3,-18.4,-21.5,-30.8,-0.2,-2.9,7.7,41,-28.2,68,-22.6,-26.2,-33.4
01.01.2016 23:00,6.3,43,-29.6,0,-1.6,0,195.31,196.56,-0.66,0,-38,815.2,-18.3,-18.4,-21.5,-30.5,-0.5,-2.7,7.6,41,-28,69,-22.6,-26.2,-33.4
02.01.2016 00:00,6,41,-28.8,0,-1.6,0,197.59,198.84,-0.66,0,-38,815.1,-18.3,-18.4,-21.6,-29.8,-0.3,-3,7.5,40,-26.1,68,-22.6,-26.2,-33.4
02.01.2016 01:00,7.3,45,-27.6,0,-1.6,0.71,201.87,203.13,-0.66,0,23,815,-18.3,-18.4,-21.5,-28.5,-0.4,-2.3,8.5,42,-26.6,66,-22.6,-26.3,-33.3
02.01.2016 02:00,7.1,44,-26.9,0,-1.6,0,204.87,206.13,-0.66,0,22,814.9,-18.3,-18.4,-21.6,-27.6,-0.2,-2.7,8.3,42,-25.9,64,-22.6,-26.3,-33.3
02.01.2016 03:00,7.5,47,-26.5,0,-0.8,0,206.56,207.81,-0.66,0,-38,814.7,-18.3,-18.4,-21.5,-27.1,0.5,-2.5,8.6,45,-25.7,65,-22.6,-26.3,-33.2
02.01.2016 04:00,7.7,49,-25.8,0,-0.8,0,209.27,210.53,-0.66,0,-37,814.5,-18.3,-18.4,-21.6,-26.3,0.6,-2.5,8.7,47,-25.3,66,-22.6,-26.3,-33.1
02.01.2016 05:00,7.6,51,-25.2,0,-0.8,0,211.67,212.93,-0.66,0,32,814.6,-18.3,-18.4,-21.6,-25.6,1.1,-2.5,8.4,48,-24.9,68,-22.6,-26.3,-32.9
02.01.2016 06:00,7.8,57,-25.3,0,-0.8,0,212.93,212.93,0,0,-37,814.8,-18.3,-18.4,-21.6,-25.6,0.2,-3.1,8.6,54,-25,70,-22.6,-26.3,-32.8
02.01.2016 07:00,7.1,68,-24,0,0,0.71,217.44,217.44,0,0,-37,815.3,-18.3,-18.4,-21.6,-24.3,-0.7,-2.4,7.7,63,-23.9,72,-22.6,-26.3,-32.6
02.01.2016 08:00,7.6,72,-24.3,0,-0.8,0,216.74,216.74,-0.66,0,-37,815.8,-18.3,-18.4,-21.6,-24.5,0.9,-2.2,8.3,69,-24.1,75,-22.6,-26.3,-32.4
02.01.2016 09:00,7.7,74,-25.1,0,-0.8,0,213.96,213.96,-0.66,0,-37,816.5,-18.3,-18.4,-21.6,-25.3,-0.5,-2.3,8.4,71,-24.9,77,-22.6,-26.3,-32.2
02.01.2016 10:00,7.6,76,-25,0,0,0,214.31,214.31,0,0,-37,817.3,-18.3,-18.4,-21.6,-25.2,1,-2.5,8.3,72,-24.8,77,-22.6,-26.3,-31.9
02.01.2016 11:00,7.8,73,-50,0,-0.8,0,215,215,-0.66,0,-37,818,-18.3,-18.4,-21.6,-25,0.1,-2.8,8.6,69,-24.6,78,-22.6,-26.3,-31.7
02.01.2016 12:00,7.5,70,-50,127,-0.8,0,212.93,212.93,-0.66,0,-37,818.5,-18.3,-18.4,-21.6,-25.6,-0.7,-3.2,8.3,66,-25.2,76,-22.6,-26.3,-31.5
02.01.2016 13:00,7.2,70,-26.3,127,-1.6,0,209.17,209.17,-0.66,0,29,819,-18.3,-18.4,-21.6,-26.7,0,-2.4,8,66,-26,76,-22.6,-26.3,-31.2
02.01.2016 14:00,6.9,70,-27.1,127,-1.6,0,206.47,206.47,-0.66,0,-38,819.3,-18.3,-18.4,-21.6,-27.5,0.3,-2.9,7.9,67,-26.6,76,-22.6,-26.3,-31
02.01.2016 15:00,6.6,68,-27.2,127,-0.8,0.71,205.8,205.8,-0.66,0,-38,819.5,-18.3,-18.5,-21.6,-27.7,-0.1,-2.9,7.6,66,-26.6,76,-22.6,-26.3,-30.9
02.01.2016 16:00,6.3,66,-27.1,127,-0.8,0,206.13,206.13,-0.66,0,-37,819.8,-18.3,-18.5,-21.6,-27.6,-0.2,-2.6,7.3,63,-26.5,76,-22.6,-26.3,-30.8
02.01.2016 17:00,6.5,64,-27.6,127,-1.6,0,204.46,204.46,-0.66,0,-38,820.2,-18.3,-18.4,-21.6,-28.1,0.4,-2.7,7.4,62,-27,76,-22.6,-26.3,-30.7
02.01.2016 18:00,6,62,-28.7,127,-1.6,0,200.81,200.81,-0.66,0,22,820.6,-18.3,-18.5,-21.6,-29.2,0.3,-2.6,7.1,59,-27.9,76,-22.6,-26.3,-30.6
02.01.2016 19:00,5.5,61,-28.8,127,-0.8,0,199.5,199.5,-0.66,0,-38,821,-18.3,-18.5,-21.6,-29.6,-0.2,-2.9,6.7,59,-27.6,76,-22.6,-26.3,-30.6
02.01.2016 20:00,5.5,62,-29,127,-1.6,0,199.17,199.17,-0.66,0,-38,821.4,-18.3,-18.5,-21.6,-29.7,0.1,-2.5,6.8,61,-27.7,76,-22.6,-26.3,-30.5
02.01.2016 21:00,5.4,63,-29.1,127,-1.6,0,198.19,198.19,-0.66,0,-38,821.8,-18.3,-18.5,-21.6,-30,-0.5,-2.6,6.8,61,-27.3,76,-22.6,-26.3,-30.5
02.01.2016 22:00,5.3,61,-29.1,127,-1.6,0,198.52,198.52,-0.66,0,-38,822,-18.3,-18.5,-21.6,-29.9,-0.3,-2.5,6.6,59,-27.6,76,-22.6,-26.3,-30.6
02.01.2016 23:00,5.4,64,-28.4,127,-0.8,0.71,200.15,200.15,-0.66,0,-38,822.2,-18.3,-18.5,-21.6,-29.4,0.1,-2.3,6.8,63,-26.8,76,-22.6,-26.3,-30.6
03.01.2016 00:00,5.6,64,-27.8,127,-1.6,0,202.79,202.79,-0.66,0,-38,822.3,-18.4,-18.5,-21.6,-28.6,0,-2.6,7,62,-26.3,76,-22.7,-26.3,-30.6
03.01.2016 01:00,5.6,60,-27.6,126,-0.8,0,203.46,203.46,-0.66,0,-38,822.5,-18.4,-18.5,-21.6,-28.4,0.1,-2.8,7.2,59,-26,74,-22.6,-26.3,-30.7
03.01.2016 02:00,5.7,59,-27.2,126,-0.8,0,204.79,204.79,-0.66,0,-38,822.9,-18.4,-18.5,-21.6,-28,-0.5,-2.7,7.2,57,-25.6,69,-22.6,-26.3,-30.7
03.01.2016 03:00,5.6,60,-50,126,-1.6,0,204.12,204.12,-0.66,0,-38,823.1,-18.4,-18.5,-21.6,-28.2,-0.2,-2.5,7,59,-25.6,70,-22.7,-26.3,-30.7
03.01.2016 04:00,5.9,57,-27.7,127,-1.6,0,202.79,202.79,-0.66,0,-38,823.2,-18.4,-18.5,-21.6,-28.6,0.1,-3.3,7.4,55,-25.4,70,-22.6,-26.3,-30.7
03.01.2016 05:00,6.7,58,-27.3,127,-0.8,0,204.79,204.79,-0.66,0,-38,823.3,-18.4,-18.5,-21.6,-28,0.6,-2.6,8,54,-26.4,71,-22.6,-26.2,-30.7
03.01.2016 06:00,6.4,60,-27.2,127,-0.8,0,205.13,205.13,-0.66,0,-38,823.4,-18.4,-18.5,-21.6,-27.9,-0.1,-2.1,7.7,56,-26.2,71,-22.7,-26.2,-30.7
03.01.2016 07:00,6.3,62,-27.1,127,-0.8,0,205.46,205.46,-0.66,0,-38,823.6,-18.4,-18.5,-21.7,-27.8,0.2,-2.5,7.5,59,-26,72,-22.7,-26.2,-30.7
