Date,Wind_speed_1[m/s],Wind_direction_1[deg],Temperature_1[degC],Relative_humidity_1[%],SW_downward[W/m**2],SW_upward[W/m**2],LW_downward[W/m**2],LW_upward[W/m**2],NIR_downward[W/m**2],NIR_upward[W/m**2],Snow_depth[cm],Surface_pressure[hPa],Snow_temperature_1[degC],Snow_temperature_2[degC],Snow_temperature_3[degC],CNR4_body_temp[degC],Tilt_X[deg],Tilt_Y[deg],Wind_speed_2[m/s],Wind_direction_2[deg],Temperature_2[degC],Relative_humidity_2[%]
01.01.2014 00:00,4.3 ,66 ,-19.4 ,37 ,-3.54 ,0.00 ,145.96 ,202.02 ,-9999.00 ,-9999.00 ,58 ,888.9 ,-9999.00 ,-9999.00 ,-9999.00 ,-20.3 ,0.0 ,0.0 ,-9999.00 ,-9999.00 ,-9999.00 ,-9999.00 
01.01.2014 01:00,4.5 ,83 ,-19.4 ,38 ,-2.36 ,1.02 ,149.02 ,203.36 ,-9999,-9999,58 ,889.5 ,-9999,-9999,-9999,-20.5 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 02:00,4.3 ,101 ,-20.0 ,43 ,-2.36 ,1.02 ,165.03 ,207.44 ,-9999,-9999,59 ,890.2 ,-9999,-9999,-9999,-20.9 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 03:00,4.0 ,100 ,-19.2 ,45 ,-1.18 ,1.02 ,185.39 ,213.17 ,-9999,-9999,58 ,890.7 ,-9999,-9999,-9999,-19.9 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 04:00,3.5 ,85 ,-18.7 ,47 ,-1.18 ,0.00 ,192.93 ,216.77 ,-9999,-9999,58 ,891.0 ,-9999,-9999,-9999,-19.3 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 05:00,4.4 ,92 ,-19.4 ,58 ,-1.18 ,0.00 ,196.02 ,218.01 ,-9999,-9999,59 ,891.2 ,-9999,-9999,-9999,-19.9 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 06:00,4.0 ,87 ,-19.0 ,64 ,-1.18 ,1.02 ,192.59 ,217.00 ,-9999,-9999,57 ,891.3 ,-9999,-9999,-9999,-19.8 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 07:00,3.6 ,93 ,-18.7 ,65 ,-1.18 ,0.00 ,210.00 ,221.29 ,-9999,-9999,59 ,891.7 ,-9999,-9999,-9999,-19.2 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 08:00,3.6 ,90 ,-18.9 ,75 ,-1.18 ,0.00 ,193.70 ,220.18 ,-9999,-9999,58 ,892.1 ,-9999,-9999,-9999,-19.5 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 09:00,2.9 ,92 ,-18.8 ,83 ,-2.36 ,1.02 ,178.91 ,214.28 ,-9999,-9999,58 ,892.4 ,-9999,-9999,-9999,-19.6 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 10:00,4.0 ,51 ,-19.1 ,84 ,-2.36 ,0.00 ,180.84 ,214.56 ,-9999,-9999,57 ,892.8 ,-9999,-9999,-9999,-19.9 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 11:00,4.9 ,54 ,-18.7 ,82 ,-2.36 ,0.00 ,201.69 ,221.20 ,-9999,-9999,58 ,892.9 ,-9999,-9999,-9999,-19.6 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 12:00,4.0 ,62 ,-18.2 ,82 ,-1.18 ,0.00 ,221.73 ,230.76 ,-9999,-9999,58 ,893.3 ,-9999,-9999,-9999,-18.7 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 13:00,3.8 ,67 ,-17.9 ,82 ,-1.18 ,0.00 ,229.31 ,235.03 ,-9999,-9999,58 ,893.5 ,-9999,-9999,-9999,-18.3 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 14:00,4.1 ,62 ,-17.7 ,82 ,-1.18 ,0.00 ,231.58 ,236.47 ,-9999,-9999,58 ,893.6 ,-9999,-9999,-9999,-18.1 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 15:00,4.4 ,66 ,-17.9 ,82 ,-1.18 ,0.00 ,230.45 ,236.04 ,-9999,-9999,58 ,893.6 ,-9999,-9999,-9999,-18.4 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 16:00,4.4 ,73 ,-17.8 ,82 ,-1.18 ,1.02 ,230.08 ,235.66 ,-9999,-9999,58 ,893.8 ,-9999,-9999,-9999,-18.5 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 17:00,3.7 ,74 ,-17.5 ,82 ,0.00 ,0.00 ,236.51 ,238.92 ,-9999,-9999,58 ,894.2 ,-9999,-9999,-9999,-18.0 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 18:00,3.7 ,72 ,-17.3 ,83 ,0.00 ,0.00 ,238.78 ,241.13 ,-9999,-9999,59 ,894.2 ,-9999,-9999,-9999,-17.6 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 19:00,3.2 ,74 ,-17.1 ,83 ,0.00 ,0.00 ,242.20 ,242.26 ,-9999,-9999,58 ,894.2 ,-9999,-9999,-9999,-17.3 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 20:00,3.0 ,65 ,-16.9 ,83 ,0.00 ,0.00 ,243.34 ,243.40 ,-9999,-9999,58 ,894.4 ,-9999,-9999,-9999,-17.0 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 21:00,2.9 ,62 ,-16.7 ,83 ,0.00 ,0.00 ,243.72 ,243.79 ,-9999,-9999,58 ,894.5 ,-9999,-9999,-9999,-16.9 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 22:00,3.2 ,62 ,-16.6 ,83 ,0.00 ,0.00 ,244.48 ,244.55 ,-9999,-9999,58 ,894.7 ,-9999,-9999,-9999,-16.7 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
01.01.2014 23:00,2.9 ,71 ,-16.5 ,83 ,0.00 ,0.00 ,244.86 ,244.93 ,-9999,-9999,58 ,894.8 ,-9999,-9999,-9999,-16.6 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 00:00,2.7 ,64 ,-16.7 ,83 ,0.00 ,0.00 ,244.10 ,244.17 ,-9999,-9999,58 ,894.8 ,-9999,-9999,-9999,-16.8 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 01:00,2.1 ,65 ,-16.6 ,83 ,0.00 ,0.00 ,244.48 ,244.55 ,-9999,-9999,58 ,894.8 ,-9999,-9999,-9999,-16.7 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 02:00,1.6 ,76 ,-16.4 ,84 ,0.00 ,0.00 ,244.86 ,244.93 ,-9999,-9999,56 ,894.8 ,-9999,-9999,-9999,-16.6 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 03:00,2.3 ,42 ,-16.7 ,83 ,0.00 ,0.00 ,243.72 ,243.79 ,-9999,-9999,58 ,894.8 ,-9999,-9999,-9999,-16.9 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 04:00,2.7 ,34 ,-17.1 ,83 ,-1.18 ,0.00 ,241.06 ,241.88 ,-9999,-9999,57 ,894.8 ,-9999,-9999,-9999,-17.4 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 05:00,3.9 ,20 ,-17.6 ,83 ,-2.36 ,1.02 ,234.26 ,237.36 ,-9999,-9999,56 ,894.4 ,-9999,-9999,-9999,-18.6 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 06:00,4.0 ,27 ,-17.6 ,83 ,-1.18 ,1.02 ,234.26 ,237.36 ,-9999,-9999,56 ,894.3 ,-9999,-9999,-9999,-18.6 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 07:00,4.4 ,25 ,-17.8 ,83 ,-2.36 ,1.02 ,231.63 ,235.50 ,-9999,-9999,57 ,894.5 ,-9999,-9999,-9999,-19.1 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 08:00,4.2 ,26 ,-17.8 ,83 ,-2.36 ,1.02 ,230.50 ,235.13 ,-9999,-9999,55 ,894.5 ,-9999,-9999,-9999,-19.2 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 09:00,4.1 ,18 ,-17.6 ,83 ,-2.36 ,1.02 ,230.50 ,234.43 ,-9999,-9999,56 ,894.6 ,-9999,-9999,-9999,-19.2 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 10:00,3.9 ,17 ,-17.5 ,83 ,-2.36 ,1.02 ,231.62 ,235.55 ,-9999,-9999,56 ,894.9 ,-9999,-9999,-9999,-18.9 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 11:00,4.2 ,11 ,-17.6 ,82 ,-3.54 ,1.02 ,229.74 ,234.43 ,-9999,-9999,57 ,895.0 ,-9999,-9999,-9999,-19.2 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 12:00,4.1 ,8 ,-17.5 ,82 ,-2.36 ,1.02 ,229.37 ,234.06 ,-9999,-9999,54 ,894.9 ,-9999,-9999,-9999,-19.3 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 13:00,3.6 ,10 ,-17.1 ,79 ,-3.54 ,1.02 ,230.85 ,234.91 ,-9999,-9999,53 ,894.7 ,-9999,-9999,-9999,-18.7 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 14:00,2.7 ,29 ,-17.1 ,74 ,-2.36 ,1.02 ,231.22 ,235.29 ,-9999,-9999,57 ,894.6 ,-9999,-9999,-9999,-18.6 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 15:00,1.4 ,25 ,-18.6 ,74 ,-3.54 ,1.02 ,224.19 ,228.26 ,-9999,-9999,56 ,894.7 ,-9999,-9999,-9999,-20.5 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 16:00,1.9 ,355 ,-18.9 ,75 ,-2.36 ,1.02 ,224.95 ,228.26 ,-9999,-9999,55 ,894.4 ,-9999,-9999,-9999,-20.5 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 17:00,2.1 ,355 ,-18.3 ,77 ,-3.54 ,2.03 ,224.92 ,228.99 ,-9999,-9999,55 ,894.1 ,-9999,-9999,-9999,-20.3 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 18:00,2.8 ,346 ,-18.7 ,77 ,-2.36 ,1.02 ,224.92 ,228.99 ,-9999,-9999,56 ,893.9 ,-9999,-9999,-9999,-20.3 ,1.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 19:00,1.7 ,8 ,-18.2 ,77 ,-2.36 ,2.03 ,224.92 ,228.99 ,-9999,-9999,56 ,894.1 ,-9999,-9999,-9999,-20.3 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 20:00,3.5 ,360 ,-18.0 ,76 ,-2.36 ,1.02 ,226.76 ,230.83 ,-9999,-9999,54 ,894.3 ,-9999,-9999,-9999,-19.8 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 21:00,2.1 ,22 ,-17.7 ,76 ,-3.54 ,2.03 ,226.74 ,231.57 ,-9999,-9999,54 ,894.5 ,-9999,-9999,-9999,-19.6 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 22:00,1.1 ,21 ,-18.4 ,79 ,-2.36 ,2.03 ,223.46 ,227.53 ,-9999,-9999,54 ,894.5 ,-9999,-9999,-9999,-20.7 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
02.01.2014 23:00,2.8 ,345 ,-19.3 ,78 ,-3.54 ,1.02 ,223.07 ,227.89 ,-9999,-9999,55 ,894.4 ,-9999,-9999,-9999,-20.6 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
03.01.2014 00:00,2.4 ,353 ,-19.7 ,79 ,-2.36 ,1.02 ,220.52 ,225.35 ,-9999,-9999,56 ,894.3 ,-9999,-9999,-9999,-21.3 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
03.01.2014 01:00,1.5 ,360 ,-19.4 ,79 ,-3.54 ,2.03 ,220.19 ,224.26 ,-9999,-9999,54 ,894.4 ,-9999,-9999,-9999,-21.6 ,0.0 ,0.0 ,-9999,-9999,-9999,-9999
